Site,Parameter,Date (LT),Year,Month,Day,Hour,Value,Unit,Duration,QC Name
Jakarta South,PM2.5 - Principal,2016-01-22 03:00 PM,2016,01,22,15,27.0,UG/M3,1 Hr,Valid
Jakarta South,PM2.5 - Principal,2016-01-22 04:00 PM,2016,01,22,16,23.0,UG/M3,1 Hr,Valid
Jakarta South,PM2.5 - Principal,2016-01-22 05:00 PM,2016,01,22,17,23.0,UG/M3,1 Hr,Valid
Jakarta South,PM2.5 - Principal,2016-01-22 06:00 PM,2016,01,22,18,28.0,UG/M3,1 Hr,Valid
Jakarta South,PM2.5 - Principal,2016-01-22 07:00 PM,2016,01,22,19,27.0,UG/M3,1 Hr,Valid
Jakarta South,PM2.5 - Principal,2016-01-22 08:00 AM,2016,01,22,08,84.0,UG/M3,1 Hr,Valid
Jakarta South,PM2.5 - Principal,2016-01-22 09:00 AM,2016,01,22,09,68.0,UG/M3,1 Hr,Valid
Jakarta South,PM2.5 - Principal,2016-01-22 10:00 AM,2016,01,22,10,38.0,UG/M3,1 Hr,Valid
Jakarta South,PM2.5 - Principal,2016-01-22 11:00 AM,2016,01,22,11,25.0,UG/M3,1 Hr,Valid
Jakarta South,PM2.5 - Principal,2016-01-22 12:00 PM,2016,01,22,12,22.0,UG/M3,1 Hr,Valid
Jakarta South,PM2.5 - Principal,2016-01-22 01:00 PM,2016,01,22,13,22.0,UG/M3,1 Hr,Valid
Jakarta South,PM2.5 - Principal,2016-01-22 02:00 AM,2016,01,22,02,99.0,UG/M3,1 Hr,Valid
Jakarta South,PM2.5 - Principal,2016-01-22 03:00 AM,2016,01,22,03,144.0,UG/M3,1 Hr,Valid
